"Activity","Broad.Category","Total.Budget","Total.Days","Effective.Days","Expected.Spending","Total.Expenses","Total.Commitments","date"
"24010011","TOTAL DIRECT",1500000,11507,349,45494.0471017641,155240.14,12557.48,2014-06-15
"416720010101","Labor",117169,303,303,117169,96312.89,0,2014-06-15
"416720010101","Subcontracts",82406,303,303,82406,0,79342.03,2014-06-15
"416720010101","Supplies",81127,303,303,81127,89652.75,680.11,2014-06-15
"416720010101","TOTAL DIRECT",282702,303,303,282702,195342.07,88481.01,2014-06-15
"416720010101","Travel",2000,303,303,2000,2551.77,0,2014-06-15
"416720010201","Labor",131231,729,410,73806.1865569273,13388.8,0,2014-06-15
"416720010201","Subcontracts",88721,729,410,49897.9561042524,0,0,2014-06-15
"416720010201","Supplies",85054,729,410,47835.5829903978,3381.26,3041.26,2014-06-15
"416720010201","TOTAL DIRECT",307006,729,410,172664.554183813,16770.06,3041.26,2014-06-15
"416720010201","Travel",2000,729,410,1124.82853223594,0,0,2014-06-15
"416720020101","Labor",249929,1816,1586,218274.996696035,134456.31,0,2014-06-15
"416720020101","Other",73074,1816,1586,63819.0330396476,57481.76,10913.39,2014-06-15
"416720020101","Subcontracts",204770,1816,1586,178835.473568282,0,169650.01,2014-06-15
"416720020101","Supplies",153676,1816,1586,134212.629955947,70163.61,4040.09,2014-06-15
"416720020101","TOTAL DIRECT",683699,1816,1586,597107.16629956,267216,184603.49,2014-06-15
"416720020101","Travel",2250,1816,1586,1965.03303964758,5114.32,0,2014-06-15
"416720030101","Labor",42786,395,349,37803.3265822785,19014.6,0,2014-06-15
"416720030101","Supplies",9265,395,349,8186.03797468354,0,0,2014-06-15
"416720030101","TOTAL DIRECT",52051,395,349,45989.364556962,19014.6,0,2014-06-15
"416720040101","Labor",151630,364,318,132467.967032967,120541.52,0,2014-06-15
"416720040101","Subcontracts",179887,364,318,157154.027472527,50371.2,129515.81,2014-06-15
"416720040101","Supplies",164939,364,318,144095.06043956,105383.58,29502.49,2014-06-15
"416720040101","TOTAL DIRECT",499118,364,318,436042.648351648,288457.98,159018.3,2014-06-15
"416720040101","Travel",2662,364,318,2325.59340659341,3108.18,0,2014-06-15
"416720050101","Labor",10840,272,226,9006.76470588235,6224.95,0,2014-06-15
"416720050101","Other",20470,272,226,17008.1617647059,7115.58,2464.28,2014-06-15
"416720050101","Subcontracts",92190,272,226,76599.0441176471,2760.63,93372.38,2014-06-15
"416720050101","TOTAL DIRECT",125000,272,226,103860.294117647,21735.86,100216.66,2014-06-15
"416720050101","Travel",1500,272,226,1246.32352941176,0,0,2014-06-15
"416720060101","Labor",18020,121,106,15786.1157024793,11076.48,0,2014-06-15
"416720060101","Supplies",13611,121,106,11923.6859504132,12153.44,0,2014-06-15
"416720060101","TOTAL DIRECT",31631,121,106,27709.8016528926,23229.92,0,2014-06-15
"416720070101","TOTAL DIRECT",41000,247,48,7967.61133603239,3504.95,29655.42,2014-06-15
